date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:18:55	49/49	---M--	200	added ('OK')	text/plain	date:Mon,%2020%20Mar%202017%2009:44:50%20GMT	https://www.dialog.lk/robots.txt		(from )
08:18:57	77942/77942	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202017%2013:39:14%20GMT	https://www.dialog.lk/	C:/Users/nithu/Music/SSS/SSS/www.dialog.lk/index.html	(from )
08:18:57	232782/232782	---M--	200	added ('OK')	text/css	etag:%227e891b-38d4e-53bf7ed4164c0%22	https://www.dialog.lk/dialogdocroot/content/css/main.min.css	C:/Users/nithu/Music/SSS/SSS/www.dialog.lk/dialogdocroot/content/css/main.min.css	(from https://www.dialog.lk/)
08:18:57	169733/169733	---M--	200	added ('OK')	text/css	etag:%2258a9ef-29705-53bf7f088a080%22	https://www.dialog.lk/dialogdocroot/content/css/main-plus.min.css	C:/Users/nithu/Music/SSS/SSS/www.dialog.lk/dialogdocroot/content/css/main-plus.min.css	(from https://www.dialog.lk/)
08:18:57	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2254b60d-47e-52549fa049d40%22	https://www.dialog.lk/dialogdocroot/content/images/favicon.ico	C:/Users/nithu/Music/SSS/SSS/www.dialog.lk/dialogdocroot/content/images/favicon.ico	(from https://www.dialog.lk/)
08:19:02	71204/71204	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Mar%202017%2013:39:18%20GMT	https://www.dialog.lk/vendor/jquery-1.10.1.min.js	C:/Users/nithu/Music/SSS/SSS/www.dialog.lk/vendor/jquery-1.10.1.min.js	(from https://www.dialog.lk/)
08:19:02	93057/93057	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.1/jquery.min.js	C:/Users/nithu/Music/SSS/SSS/ajax.googleapis.com/ajax/libs/jquery/1.10.1/jquery.min.js	(from https://www.dialog.lk/)
08:19:03	22351/22351	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2025%20Mar%202017%2013:39:21%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/Users/nithu/Music/SSS/SSS/connect.facebook.net/en_US/fbevents.js	(from https://www.dialog.lk/)
08:19:03	9035/9035	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2013%20Mar%202017%2009:36:51%20GMT	http://rum-static.pingdom.net/prum.min.js	C:/Users/nithu/Music/SSS/SSS/rum-static.pingdom.net/prum.min.js	(from https://www.dialog.lk/)
08:19:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2025%20Mar%202017%2013:39:22%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/nithu/Music/SSS/SSS/www.googletagmanager.com/gtm.75445.delayed	(from https://www.dialog.lk/)
08:19:04	294/294	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e1ee6155790d21:0%22	http://cdn.mouseflow.com/projects/626dbcfd-55d0-4ccd-af23-5b21711c0f96.js	C:/Users/nithu/Music/SSS/SSS/cdn.mouseflow.com/projects/626dbcfd-55d0-4ccd-af23-5b21711c0f96.js	(from https://www.dialog.lk/)
08:19:04	1800/1800	---M--	200	added ('OK')	image/png	etag:%2254af5e-708-50af708c6cf00%22	https://www.dialog.lk/dialogdocroot/content/images/dialog_logo.png	C:/Users/nithu/Music/SSS/SSS/www.dialog.lk/dialogdocroot/content/images/dialog_logo.png	(from https://www.dialog.lk/)
08:19:04	236/236	---M-Z	302	error ('Found')	text/html	date:Sat,%2025%20Mar%202017%2013:39:23%20GMT	https://www.dialog.lk/dlg/browse/reloadPayBillOnline.jsp	C:/Users/nithu/Music/SSS/SSS/www.dialog.lk/dlg/browse/reloadPayBillOnline.jsp	(from https://www.dialog.lk/)
08:19:05	225/225	---M-Z	302	error ('Found')	text/html	date:Sat,%2025%20Mar%202017%2013:39:24%20GMT	https://www.dialog.lk/dlg/myaccount/login.jsp	C:/Users/nithu/Music/SSS/SSS/www.dialog.lk/dlg/myaccount/login.d.delayed	(from https://www.dialog.lk/)
